ACXIF,ACCIONA SA,04/21/2016,NASDAQ-OTC
ACXM,ACXIOM,04/21/2016,NASDAQ-OTC
ADAC,ADAMA TECHNOLOGIES,04/21/2016,NASDAQ-OTC
ADAP,ADAPTIMMUNE THERAPEUTICS P,04/21/2016,NASDAQ-OTC
ADAT,AUTHENTIDATE HOLDING,04/21/2016,NASDAQ-OTC
ADBCF,ADELAIDE BRIGHTON AU,04/21/2016,NASDAQ-OTC
ADBE,ADOBE SYSTEMS,04/21/2016,NASDAQ-OTC
ADCF,ADVANCED DEFENSE,04/21/2016,NASDAQ-OTC
ADDC,ADDMASTER CORP,04/21/2016,NASDAQ-OTC
ADDDF,ADIDAS AG OR,04/21/2016,NASDAQ-OTC
ADDYY,ADIDAS AG,04/21/2016,NASDAQ-OTC
ADENF,ADIRA ENERGY CANADA,04/21/2016,NASDAQ-OTC
ADERY,AIDA ENGR LTD ADR,04/21/2016,NASDAQ-OTC
ADES,ADVANCED EMISSIONS SOLUTIO,04/21/2016,NASDAQ-OTC
ADEXF,ADVANCED EXPLORATION,04/21/2016,NASDAQ-OTC
ADFI,ASIAN DEVELOPMENT FRONTIER,04/21/2016,NASDAQ-OTC
ADFMF,ADVANCE FRONTIER MKT,04/21/2016,NASDAQ-OTC
ADFS,AMERICAN DEFENSE SYS,04/21/2016,NASDAQ-OTC
ADFT,ADFITECH INC,04/21/2016,NASDAQ-OTC
ADGE,AMERICAN DG ENERGY,04/21/2016,NASDAQ-OTC
ADGL,ALLDIGITAL HOLDINGS,04/21/2016,NASDAQ-OTC
ADGS,ADGS ADVISORY INC,04/21/2016,NASDAQ-OTC
ADHC,AMERICAN DIVERSIFIED,04/21/2016,NASDAQ-OTC
ADHD,ALCOBRA LTD. ORDINARY SHAR,04/21/2016,NASDAQ-OTC
ADHH,ADAIAH DISTR INC  COMMON S,04/21/2016,NASDAQ-OTC
ADHLF,APPLIED INTL HOLDING,04/21/2016,NASDAQ-OTC
ADHLY,APPLIED DEV HLDGS LT,04/21/2016,NASDAQ-OTC
ADIA,ADIA NUTRITION INC,04/21/2016,NASDAQ-OTC
ADK-A,ADCARE HEALTY SYSTEMS,04/21/2016,NASDAQ-OTC
