@JSA,AMEX NET TICK
S@@ISZA,NASD ISS ADVANCES 
S@@ISZD,NASD ISS DECLINES 
S@@ISZT,NASD ISS TOTAL
S@@ISZU,NASD ISS UNCHANGED
S@@VSAA,AMEX VOL ADVANCES 
S@@VSAD,AMEX VOL DECLINES 
S@@VSAT,AMEX VOL TOTAL
S@@VSAU,AMEX VOL UNCHANGED
S@@VSNA,NYSE VOL ADVANCES 
S@@VSND,NYSE VOL DECLINES 
S@@VSNT,NYSE VOL TOTAL
S@@VSNU,NYSE VOL UNCHANGED
S@@VSZA,NASD VOL ADVANCES 
S@@VSZD,NASD VOL DECLINES 
S@@VSZT,NASD VOL TOTAL
S@@VSZU,NASD VOL UNCHANGED
S@AMXTRIN,AMEX TRIN
S@DCA,AMEX CALL DOLLAR VOLUME
S@DCC,CBOE CALL DOLLAR VOLUME
S@DCP,PSE CALL DOLLAR VOLUME
S@DCX,PHLX CALL DOLLAR VOLUME
S@DPA,AMEX PUTS DOLLAR VOLUME
S@DPC,CBOE PUTS DOLLAR VOLUME
S@DPP,PSE PUTS DOLLAR VOLUME
S@DPX,PHLX PUTS DOLLAR VOLUME
S@DSA,AMEX DOLLAR VOL ISSUES
S@DSN,NYSE $ VOL ISSUES/IN (000)
S@DSR,NASDAQ 3RD MKT DLR VOL
S@DSS,NASDAQ SM CAP DLR VOL
S@DST,NASDAQ NMS DLR VOL/(000)
S@DSZ,NASDAQ COMB $ V/I (000)
S@ICC,CBOE CALLS ISSUES ADV DECS
S@IIAA,AMEX ISSUES ADVANCES
S@IIAD,AMEX ISSUES DECLINES
S@IIAU,AMEX ISSUES UNCHG 
S@IINA,NYSE ISSUES ADVANCES
S@IIND,NYSE ISSUES DECLINES
S@IINU,NYSE ISSUES UNCHG 
S@IIQA,NASDAQ COMB ISSUE ADVANCES
S@IIQD,NASDAQ COMB ISSUES DECLINE
S@IIQU,NASDAQ COMB ISSUES UNCHG
S@IPC,CBOE PUTS ISSUES ADV DEC
S@ISA,AMEX ISSUES ADV DEC
S@ISR,NASDAQ OTCBB ISSUES
S@ISS,NASDAQ SM CAP ISSUES
S@IST,NASDAQ NMS MKT ISSUES
S@ISX,PHLX ISSUES ADV DEC
S@NASTRIN,NASDAQ TRIN,
S@PCRATIO,PUT CALL RATIO
S@TCA,AMEX CALLS TICKS
S@TCC,CBOE CALL TICKS
S@TCP,PSE CALL TICKS
S@TICK,NYSE TICK 
S@TPA,AMEX PUT TICKS
S@TPC,CBOE PUTS TICKS
