/AW UN,A & W REVENUE ROYALTIES,04/21/2016
/AX-A,ARTIS REAL ESTAE INVESTME,04/21/2016
/AX-E,ARTIS REIT PREF SERIES E,04/21/2016
/AX-G,ARTIS REIT SERIES G PREFE,04/21/2016
/AX-U,ARTIS REIT PFD UNITS SERI,04/21/2016
/AXA,AXIOS MOBILE ASSETS CORP,04/21/2016
/AXE,ACCELEWARE LTD,04/21/2016
/AXG,ANTIPODES GOLD LIMITED,04/21/2016
/AXL,ANDERSON ENERGY INC,04/21/2016
/AXM,AXMIN INC,04/21/2016
/AXN H,AIM EXPLORATIONS LTD,04/21/2016
/AXQ,AXE EXPLORATION INC,04/21/2016
/AXR,ALEXCO RESOURCE CORP,04/21/2016
/AXX,AXIA NETMEDIA CORP,04/21/2016
/AXY,ALTERRA POWER CORP,04/21/2016
/AX UN,ARTIS RE INVESTMENT TRUST,04/21/2016
/AYA,AMAYA INC,04/21/2016
/AYA WA,AMAYA INC WTS A,04/21/2016
/AYB H,AYUBOWAN CAPITAL LTD,04/21/2016
/AYM,ATALAYA MINING PLC,04/21/2016
/AZ,ARIZONA MINING INC,04/21/2016
/AZM,AZIMUT EXPLORATION INC,04/21/2016
/AZN,ARCTURUS VENTURES INC,04/21/2016
/AZP-A,ATLANTIC POWER PREF EQUIT,04/21/2016
/AZP-B,ATLANTIC POWER PREF EQUIT,04/21/2016
/AZP-C,ATLANTIC POWER PFD EQUITY,04/21/2016
/AZX,ALEXANDRIA MINERALS CORP,04/21/2016
/AZZ,AZARGA URANIUM CORP,04/21/2016
/B,BCM RESOURCES CORP,04/21/2016
/BAA,BANRO CORPORATION,04/21/2016
/BAD,BADGEER DAYLIGHTING LTD,04/21/2016
/BAJ,BAJA MINING CORP,04/21/2016
/BAL H,BALTO RESOURCES LTD,04/21/2016
/BAM-B,BROOKFIELD ASSET MANAGEME,04/21/2016
/BAM-C,BROOKFIELD ASSET MANAGEME,04/21/2016
/BAM-E,BROOKFIELD ASSET MGMT INC,04/21/2016
/BAM-G,BROOKFIELD ASSET MGMT INC,04/21/2016
/BAM-K,BROOKFIELD ASSET MGMT INC,04/21/2016
/BAM-L,BROOKFIELD ASSET MGMT INC,04/21/2016
/BAM-M,BROOKFIELD ASSET MNGMT IN,04/21/2016
/BAM-N,BROOKFIELD ASSET MGMT INC,04/21/2016
/BAM-R,BROOKFIELD ASSET MGMT INC,04/21/2016
/BAM-T,BROOKFIELD ASSET MANAGEME,04/21/2016
/BAM-X,BROOKFIELD ASSET MANAGEME,04/21/2016
/BAM-Z,BROOKFIELD ASSET MANAGEME,04/21/2016
/BAM A,BROOKFIELD ASSET MGMT INC,04/21/2016
/BAM PFA,BROOKFIELD ASSET MGMT PRE,04/21/2016
/BAM PFB,BROOKFIELD ASSET MGMT PRE,04/21/2016
/BAM PFC,BROOKFIELD ASSET MANAGEME,04/21/2016
/BAM PFD,BROOKFIELD ASSET MANAGEME,04/21/2016
/BAM PFE,BROOKFIELD ASSET MGMT PRE,04/21/2016
/BAM PFF,BROOKFIELD ASSET MANAGEME,04/21/2016
/BAM PFG,BROOKFIELD ASSET MGMT INC,04/21/2016
/BAM PFH,BROOKFIELD AM INC CLASS A,04/21/2016
/BAN,BANNERMAN RESOURCES LTD,04/21/2016
/BAR,BALMORAL RESOURCES LTD,04/21/2016
/BAT,BATERO GOLD CORP,04/21/2016
/BAV H,BRAVERN VENTURES LTD,04/21/2016
/BAY,ASTON BAY HOLDINGS LTD,04/21/2016
/BB,BLACKBERRY LTD,04/21/2016
/BBB,BRIXTON METALS CORP,04/21/2016
/BBD-B,BOMBARDIER INC CL B,04/21/2016
/BBD-C,BOMBARDIER INC 6.25% SR 4,04/21/2016
/BBD-D,BOMBARDIER INC CL D,04/21/2016
/BBD A,BOMBARDIER INC,04/21/2016
/BBD B,BOMBARDIER INC,04/21/2016
/BBI,BLACKBIRD ENERGY INC,04/21/2016
/BBL A,BRAMPTON BRICK LTD,04/21/2016
/BBO,BIG BANK BIG OIL SPLIT CO,04/21/2016
/BBO-A,BIG BANK BIG OIL SPLIT CO,04/21/2016
/BBR H,BIG BAR RESOURCES CORP,04/21/2016
/BBS H,BLACK BULL RESOURCES INC,04/21/2016
/BCB,COTT CORPORATION,04/21/2016
/BCC,CANADIAN BIOCEUTICAL CORP,04/21/2016
/BCE,BELL CANADA ENTERPRISE,04/21/2016
/BCE-A,BCE INC,04/21/2016
/BCE-B,BCE INC.,04/21/2016
/BCE-C,BCE INC,04/21/2016
/BCE-D,BCE INC,04/21/2016
/BCE-E,BELL CANADA,04/21/2016
/BCE-F,BELL CANADA,04/21/2016
/BCE-G,BELL CANADA,04/21/2016
/BCE-H,BELL CANADA,04/21/2016
/BCE-I,BELL CANADA,04/21/2016
/BCE-J,BCE INC PREFERRED CLASS J,04/21/2016
/BCE-K,BCE INC SERIES AK PREFERR,04/21/2016
/BCE-M,BCE INC SERIES AM PREF CU,04/21/2016
/BCE-N,BCE INC 1ST PFD SERIES AN,04/21/2016
/BCE-O,BCE INC SERIES AO PREF CU,04/21/2016
/BCE-Q,BCE INC SERIES AQ PREF CU,04/21/2016
/BCE-R,BCE INC,04/21/2016
/BCE-S,B C E INC,04/21/2016
/BCE-T,B C E INC,04/21/2016
/BCE-Y,B C E INC/BELL CDA ENTRPS,04/21/2016
/BCE-Z,BCE INC,04/21/2016
/BCF,BUILDERS CAPITAL MORTGAGE,04/21/2016
/BCG,BCGOLD CORP,04/21/2016
/BCI,NEW LOOK VISION GROUP  IN,04/21/2016
/BCK,BLIND CREEK RESOURCES LTD,04/21/2016
/BCM,BEAR CREEK MINING CORP,04/21/2016
/BCN,BACANORA MINERALS LTD,04/21/2016
/BCR H,BLUEROCK VENTURES CORP,04/21/2016
/BCT,BRIACELL THERAPEUTICS COR,04/21/2016
/BCU H,BELL COPPER CORP,04/21/2016
/BC P,BRASSNECK CAPITAL CORP PO,04/21/2016
/BDC,BLACKEAGLE DEVELOPMENT CO,04/21/2016
/BDI,BLACK DIAMOND INCOME FUND,04/21/2016
/BDT,BIRD CONSTRUCTION INC,04/21/2016
/BEA,BELMONT RESOURCES INC,04/21/2016
/BEE,BEE VECTORING TECHNOLOGIE,04/21/2016
/BEI UN,BOARDWALK EQUITIES INC,04/21/2016
/BEK B,BECKER MILK CO LTD,04/21/2016
/BEL,BELVEDERE RESOURCES LTD,04/21/2016
/BEN,BUTTE ENERGY INC,04/21/2016
/BEP-E,BROOKFIELD ENERGY  LP UNI,04/21/2016
/BEP-G,BROOKFIELD RENEWABLE ENGY,04/21/2016
/BEP UN,LP UNITS BROOKFIELD RENEW,04/21/2016
/BER,BE RESOURCES INC,04/21/2016
/BET,BETHPAGE CAPITAL CORP,04/21/2016
/BEW,BEWHERE HOLDINGS INC,04/21/2016
