BBG,BILL BARRETT,04/21/2016
BBH,MARKET VECTORS BIOTECH ETF,04/21/2016
BBK,BLACKROCK MUNICIPAL BOND C,04/21/2016
BBL,BHP BILLITON,04/21/2016
BBN,BLACKROCK TAXABLE MUNI BON,04/21/2016
BBP,BIOSHARES BIOTECHNOLOGY PR,04/21/2016
BBT,BB&T,04/21/2016
BBW,BUILD-A-BEAR WORKSHOP,04/21/2016
BBX,BBX CAPITAL,04/21/2016
BBY,BEST BUY,04/21/2016
BC,BRUNSWICK,04/21/2016
BCA,CORPBANCA,04/21/2016
BCC,BOISE CASCADE LLC,04/21/2016
BCE,BCE,04/21/2016
BCH,BANCO DE CHILE,04/21/2016
BCM,IPATH PURE BETA BROAD COMM,04/21/2016
BCO,BRINK'S COMPANY,04/21/2016
BCR,C.R. BARD,04/21/2016
BCS,BARCLAYS,04/21/2016
BCV,BANCROFT FUND,04/21/2016
BCX,BLACKROCK RESOURCES & COMM,04/21/2016
BDC,BELDEN,04/21/2016
BDD,POWERSHARES DB BASE METALS,04/21/2016
BDE,BLACK DIAMOND,04/21/2016
BDG,POWERSHARES DB BASE METALS,04/21/2016
BDJ,BLACKROCK ENHANCED EQUITY,04/21/2016
BDL,FLANIGAN'S ENTERPRISES,04/21/2016
BDN,BRANDYWINE REALTY TRUST,04/21/2016
BDR,BLONDER TONGUE,04/21/2016
BDX,BECTON DICKINSON,04/21/2016
BEL,BELMOND LTD,04/21/2016
BEN,FRANKLIN RESOURCES,04/21/2016
BEP,BROOKFIELD RENEWABLE ENERG,04/21/2016
BFK,BLACKROCK MUNICIPAL INCOME,04/21/2016
BFO,BLACKROCK FL MUNICIPAL 202,04/21/2016
BFR,BBVA BANCO FRANCES,04/21/2016
BFS,SAUL CENTERS,04/21/2016
BFY,BLACKROCK NY MUNICIPAL INC,04/21/2016
BFZ,BLACKROCK CA MUNICIPAL INC,04/21/2016
BF A,BROWN-FORMAN,04/21/2016
BF B,BROWN-FORMAN,04/21/2016
BG,BUNGE,04/21/2016
BGB,BLACKSTONE/GSO STRATEGIC C,04/21/2016
BGC,GENERAL CABLE,04/21/2016
BGG,BRIGGS & STRATTON,04/21/2016
BGH,BABSON CAP GLOBAL SHORT DU,04/21/2016
BGI,BIRKS GROUP INC,04/21/2016
BGR,BLACKROCK ENERGY & RESOURC,04/21/2016
BGS,B&G FOODS,04/21/2016
BGT,BLACKROCK FLOATING RATE IN,04/21/2016
BGX,BLACKSTONE/GSO LS CREDIT I,04/21/2016
BGY,BLACKROCK INTERNATIONAL GR,04/21/2016
BH,BIGLARI HOLDINGS,04/21/2016
BHB,BAR HARBOR BANKSHARES,04/21/2016
BHE,BENCHMARK ELECTRONICS,04/21/2016
BHI,BAKER HUGHES,04/21/2016
BHK,BLACKROCK CORE BOND COMMON,04/21/2016
BHL,BLACKROCK DEFINED OPPS CRE,04/21/2016
BHP,BHP BILLITON,04/21/2016
BHV,BLACKROCK VA MUNICIPAL BON,04/21/2016
BIB,PROSHARES ULTRA NASDAQ BIO,04/21/2016
BID,SOTHEBYS,04/21/2016
BIE,BLACKROCK MUNICIPAL BOND I,04/21/2016
BIF,BOULDER GROWTH & INCOME CO,04/21/2016
BIG,BIG LOTS,04/21/2016
BIK,SPDR S&P BRIC 40,04/21/2016
BIL,SPDR BARCLAYS 1-3 MONTH T-,04/21/2016
BIN,PROGRESSIVE WASTE,04/21/2016
BIO,BIO-RAD LABORATORIES,04/21/2016
BIOAw,BIOAMBER INC WTS,04/21/2016
BIO B,BIO-RAD LABORATORIES,04/21/2016
BIP,BROOKFIELD INFRASTRUCTURE,04/21/2016
BIS,PROSHARES TRUST PROSHARES,04/21/2016
BIT,BLACKROCK MULTI SECTOR INC,04/21/2016
BIV,VANGUARD INTERMEDIATE-TERM,04/21/2016
BJK,MARKET VECTORS GAMING ETF,04/21/2016
BJZ,BLACKROCK CA MUNI 2018 TER,04/21/2016
BK,BANK OF NEW YORK MELLON,04/21/2016
BKD,BROOKDALE SENIOR LIVING,04/21/2016
BKE,BUCKLE,04/21/2016
BKF,ISHARES MSCI BRIC INDEX,04/21/2016
BKH,BLACK HILLS,04/21/2016
BKJ,BANCORP OF NEW JERSEY,04/21/2016
BKK,BLACKROCK MUNICIPAL 2020 C,04/21/2016
BKN,BLACKROCK INVST. QUALITY M,04/21/2016
BKS,BARNES & NOBLE,04/21/2016
BKT,BLACKROCK INCOME TRUST COM,04/21/2016
BKU,BANKUNITED,04/21/2016
BLD,TOPBUILD CORP,04/21/2016
BLE,BLACKROCK MUNICIPAL INCOME,04/21/2016
BLH,BLACKROCK NY MUNI 2018 TER,04/21/2016
BLJ,BLACKROCK NJ MUNICIPAL BON,04/21/2016
BLK,BLACKROCK,04/21/2016
BLL,BALL CORP,04/21/2016
BLV,VANGUARD LONG-TERM BOND IN,04/21/2016
BLW,BLACKROCK LIMITED DURATION,04/21/2016
BLX,BANCO LATINOAMERICANO,04/21/2016
BMA,MACRO BANK,04/21/2016
BME,BLACKROCK HEALTH SCIENCES,04/21/2016
BMI,BADGER METER,04/21/2016
BMO,BANK OF MONTREAL,04/21/2016
BMS,BEMIS,04/21/2016
BMY,BRISTOL-MYERS SQUIBB,04/21/2016
BND,VANGUARD TOTAL BOND MARKET,04/21/2016
BNJ,BLACKROCK NJ MUNICIPAL INC,04/21/2016
