SYMBOL	nAME
BZ	BRENT CRUDE OIL LAST DAY
CLT	CRUDE OIL (TAS)
FEW	EAST/WEST FUEL OIL SPREAD
GCT	GOLD (TAS)
GL	COLUMBIA GULF LOUISIANA BASIS
HGS	COPPER FINANCIAL
HGT	COPPER (TAS)
HH	HENRY HUB FINANCIAL LAST DAY
HOT	NY HARBOR ULSD TAS
HP	HENRY HUB FINANCIAL
IBO	SOYBEAN OIL
ICN	CORN
IS	SOYBEANS
ISM	SOYBEAN MEAL
IW	WHEAT
MB	LOOP GULF COAST SOUR CRUDE OIL
MFB	GC #6 FUEL OIL 3% SULFUR
MNG	HENRY HUB NATURAL GAS LAST DAY
NGT	NATURAL GAS (TAS)
NH	HOUSTON SHIP CHANNEL BASIS
NL	NGPL MIDCONTINENT BASIS
NNQ	HENRY HUB NATURAL GAS FINCL
NR	NW PIPELINE ROCKIES BASIS
NT	TEXAS EASTERN ZONE M-3 INDEX
NW	WAHA BASIS
PD	NGPL TEXOK BASIS
PE	NORTHERN NG DEMARCATION BASIS
PF	VENTURA BASIS
PH	PANHANDLE BASIS
Q23	NY HARBOR ULSD LAST DAY FINANCIAL
Q26	CRUDE OIL LAST DAY FINANCIAL
Q33	1% FUEL OIL RDAM VS 1% FUEL OIL NWE
Q46	PJM METED OFF PEAK CAL DAY AHEAD
Q47	PJM METED PEAK CAL DAY AHEAD
Q55	NYISO ZONE E5 PEAK CAL DAY AHEAD
Q58	NYISO ZONE E OFF PEAK CAL DAY AHEAD
Q5Z	COLUMBIA GULF MAINLINE BASIS
Q6T	IN DEL MONTH EUA
Q6T	IN DEL MONTH EUA
Q6Z	TENN 800 LEG NAT GAS BASIS
Q8A	FLORIDA ZN 2 NAT GAS BASIS
Q8B	TEXAS EASTRN WEST LO NAT GAS BASIS
Q8E	TRANSCO ZN 1 NAT GAS BASIS
Q8X	ONEOK OK NAT GAS BASIS
Q8Z	SOUTHRN STAR TX OK KS NAT GAS BASIS
Q9F	TEXAS GAS ZONE 1 NAT GAS BASIS
QA46	PJM METED OFF PEAK CAL DAY AHEAD
QA47	PJM METED PEAK CAL DAY AHEAD
QA49	PJM PENELEC PEAK CAL DAY AHEAD
QACM	COAL (API 5) FOB NEWCASTLE
QALI	ALUMINUM
QAUP	PLATTS ALUMINUM US TRANSACTION PREM
QB0	MONT BELVIEU LDH PROPANE
QB2	TRANSCO ZONE 4 NATURAL GAS INDEX
QB4	ALGONQUIN CITY-GATES NG BASIS
QB6	PJM NI HUB 5 MW RT (OFF PEAK)
QBB	BRENT CRUDE OIL - PENULTIMATE FINANCIAL
QBEA	EUROPEAN BENZENE CIF ARA TRADE MO
QBH	NY HARBOR ULSD BULLET
QBK	WTI BRENT CALENDAR
QBSA	BENZENE FOB SOUTH KOREA TRADE MO
QBZ	BRENT CRUDE OIL LAST DAY
QBZT	BRENT CRUDE OIL LAST DAY (TAS)
QC4	TRANSCO ZONE 1 NATL GAS INDEX
QCAY	WTI CRUDE OIL CAL SPREAD 1 MO
QCFS	COLUMBIA GAS TCO FIXED PRICE
QCI	CIG ROCKY MTN BASIS
QCJ	COCOA
QCL	CRUDE OIL
QCPL	CER PLUS
QCSX	WTI FINANCIAL FUTURES
QCU	CHICAGO ETHANOL
QCY	BRENT CALENDAR
QCZ	TRANSCO ZONE 3 BASIS
QD2	NYISO ZN G 5 MW DAY AHEAD (OFF PEAK)
QD3	NYISO ZN J 5 MW DAY AHEAD (PEAK)
QD4	NYISO ZN J 5 MW DAY AHEAD (OFF PEAK)
QD7	PJM AEP DAYTON PEAK LMP
QDAC	ENABLE NAT GAS FIXED PRICE
QDBL	MINI DUBAI CRUDE OIL
QDFL	DAP FOB NOLA SWAP
QDFT	DAP FOB TAMPA SWAP
QDGY	NATURAL GAS CAL SPREAD 1 MO
QDSF	DOMINION SOUTH POINT NATURAL GAS FIXED
QE4	PJM WESTERN OFF_PEAK LMP
QEN	EURO NAPHTHA CRACK
QFO	3.5% FUEL OIL BARGES FOB RDAM CRCK SPRD
QFP	FLORIDA GAS ZONE3 BASIS
QGC	GOLD
QGCK	GOLD KILO
QGCU	GC #6 FUEL OIL 3% VS EURO 3.5% FUEL OIL
QGHY	HEATING OIL CAL SPREAD 1 MO
QGL	COLUMBIA GULF LOUISIANA BASIS
QGLI	EUROPEAN LOW SULPHUR GASOIL BULLET
QGY	GC ULSD (PLATTS) CRACK SPREAD
QGZ	EUROPEAN LOW SUL GASOIL CRACK SPREAD
QH2	NEPOOL INTERNAL HUB 5 MW DAY AHEAD(O/P)
QH4	MIDWEST ISO IND 5 MW REAL TIME OFF-PEAK
QH5	MIDWEST ISO IND 5 MW DAY AHEAD (PEAK)
QHB	HENRY HUB BASIS
QHBI	HENRY HUB COMBO
QHG	COPPER
QHH	HENRY HUB FINANCIAL LAST DAY
QHHS	HENRY HUB NATURAL GAS FIXED PRICE
QHO	NEW YORK HARBOR ULSD
QHP	HENRY HUB FINANCIAL
QIH	DOMINION TRANSMISSION APPALACHIA INDEX
QII	ENABLE NATURAL GAS INDEX
QILB	ILLINOIS BASIN COAL
QIN	HENRY HUB INDEX
QIP	HOUSTON SHIP CHANNEL INDEX
QIS	CHICAGO NATURAL GAS INDEX
QIT	TRANSCO ZONE 6 INDEX
QIW	NGPL MID CONTINENT INDEX
QIX	TEXAS EASTERN ZONE M-3 INDEX
QIY	WAHA INDEX
QJ4	PJM WESTERN PEAK LMP
QJA	JAPAN C&F NAPHTHA
QJM	PJM ELECTRICITY (MONTHLY)
QK2	MIDWEST ISO IND 5 MW DAY AHEAD OFF-PEAK
QK3	NYISO ZN A 5 MW DAY AHEAD (PEAK)
QK4	NYISO ZN A 5 MW DAY AHEAD (OFF PEAK)
QKT	COFFEE
QL1	PJM WESTERN HUB PEAK CAL-MO RT LMP
QL2	COLUMBIA GULF MAINLINE NAT GAS IDX
QL3	PJM NO. ILLINOIS OFF-PEAK LMP
QLD	CENTRAL APPALACHIAN COAL (CAPP)
QLLR	LLS (ARGUS) VS BRENT CRUDE
QLPS	LOOP CRUDE OIL STORAGE
QLT	UP DOWN GC ULSD VS NYMEX HO SPREAD
QM7	TRUNKLINE ELA. NATURAL GAS INDEX
QMB	LOOP GULF COAST SOUR CRUDE OIL
QMBC	MINI BRENT FINANCIAL FUTURES
QMDB	MINI DATED BRENT PLATTS FINANCIAL
QME	GC JET VS HEATING OIL SPREAD
QMEW	MINI EAST-WEST FUEL OIL SPREAD
QMFP	MINI 1% FUEL OIL CARGOES CIF NWE
QMFR	MINI 3.5% FUEL OIL BARGES CRACK
QMFS	MICHCON NATURAL GAS FIXED PRICE
QMGC	E-MICRO GOLD
QMM	NY HARBOR RESIDUAL FUEL 1.0%S
